source,target,type,strength
1,457,potential,relational
873,976,existing,contractual
349,225,existing,relational
160,544,potential,contractual
437,618,potential,relational
176,78,existing,relational
467,112,existing,integrated
983,23,existing,contractual
17,698,potential,transactional
6,594,potential,integrated
546,462,existing,member
18,652,existing,contractual
515,670,existing,member
905,329,existing,member
346,970,potential,transactional
239,891,potential,integrated
215,130,potential,relational
983,223,potential,member
868,385,potential,contractual
451,196,potential,transactional
581,567,potential,contractual
917,804,potential,member
822,497,existing,member
459,565,existing,member
976,50,existing,transactional
145,789,existing,contractual
857,772,potential,contractual
528,667,existing,integrated
739,856,potential,transactional
782,142,existing,transactional
963,540,existing,integrated
498,165,potential,transactional
68,15,existing,relational
701,442,existing,relational
661,898,existing,contractual
311,973,existing,transactional
513,615,potential,integrated
927,111,potential,contractual
406,886,existing,relational
826,784,existing,member
941,670,potential,transactional
440,425,existing,transactional
741,762,potential,member
915,257,existing,contractual
951,941,potential,contractual
36,489,potential,relational
98,525,potential,contractual
528,508,potential,member
494,633,potential,integrated
486,759,existing,integrated
417,379,existing,transactional
374,948,potential,contractual
907,288,existing,transactional
991,95,existing,transactional
399,599,existing,transactional
780,952,existing,contractual
726,356,potential,integrated
852,845,potential,contractual
900,600,potential,transactional
318,539,existing,member
540,13,potential,contractual
161,504,existing,member
208,488,existing,relational
583,605,potential,transactional
484,395,existing,integrated
449,837,potential,relational
604,307,potential,transactional
783,545,existing,integrated
948,695,existing,integrated
209,538,potential,integrated
182,195,potential,transactional
717,557,existing,member
1000,347,potential,member
263,243,potential,integrated
358,508,potential,member
603,259,existing,contractual
436,37,potential,transactional
464,377,existing,transactional
183,662,existing,integrated
152,923,potential,member
431,728,potential,relational
592,189,potential,member
247,39,potential,relational
582,875,existing,transactional
619,929,existing,integrated
773,183,existing,member
373,857,potential,transactional
645,341,potential,relational
321,172,existing,relational
224,629,existing,contractual
850,258,potential,contractual
196,520,existing,integrated
660,954,potential,transactional
989,215,existing,contractual
69,533,potential,contractual
690,601,potential,relational
973,636,existing,member
895,123,potential,integrated
97,705,existing,contractual
853,932,potential,contractual
620,62,existing,integrated
938,209,potential,transactional
544,516,potential,member
800,40,existing,integrated
100,762,existing,integrated
87,719,existing,contractual
242,116,potential,integrated
525,35,existing,transactional
755,717,existing,integrated
170,697,potential,relational
793,243,existing,transactional
410,334,potential,member
468,403,existing,contractual
383,892,existing,relational
676,213,existing,member
330,720,existing,transactional
185,595,existing,member
168,55,existing,contractual
898,922,potential,contractual
919,658,potential,transactional
313,345,potential,contractual
383,14,existing,contractual
751,376,existing,contractual
550,701,potential,integrated
112,473,existing,contractual
248,135,potential,integrated
63,20,existing,contractual
840,389,existing,integrated
904,623,potential,transactional
650,674,potential,relational
612,462,potential,member
967,699,potential,transactional
268,303,existing,relational
691,403,potential,contractual
365,478,existing,contractual
660,345,existing,relational
865,542,potential,member
844,158,potential,member
555,912,potential,contractual
279,333,existing,contractual
661,407,potential,contractual
701,278,existing,contractual
287,106,existing,member
115,588,existing,contractual
391,400,existing,integrated
421,526,existing,integrated
693,960,existing,member
962,813,potential,member
771,414,existing,integrated
727,35,potential,contractual
668,944,existing,relational
812,802,existing,relational
94,612,existing,relational
928,175,potential,integrated
214,303,existing,contractual
189,253,potential,integrated
825,599,existing,member
102,172,existing,relational
37,913,existing,member
818,100,potential,relational
802,511,existing,member
997,816,existing,contractual
563,38,existing,relational
183,509,existing,transactional
43,279,existing,member
88,519,potential,member
834,192,potential,relational
280,386,existing,member
463,38,potential,member
658,2,existing,relational
167,552,existing,transactional
191,854,potential,member
133,612,existing,member
763,77,existing,transactional
168,889,existing,relational
135,899,existing,relational
544,960,existing,member
615,665,existing,member
905,740,potential,transactional
353,443,potential,relational
458,375,existing,transactional
589,854,existing,contractual
820,93,potential,transactional
498,725,potential,transactional
954,926,existing,member
193,939,potential,transactional
18,739,potential,relational
237,708,existing,contractual
202,731,existing,transactional
687,400,existing,contractual
373,681,existing,contractual
914,147,existing,member
329,779,potential,transactional
931,561,existing,member
866,59,potential,integrated
114,149,potential,contractual
500,89,existing,member
53,465,potential,relational
499,431,existing,relational
510,219,potential,integrated
701,465,potential,integrated
274,21,existing,integrated
153,803,existing,member
12,309,existing,transactional
832,145,potential,integrated
757,43,existing,transactional
376,459,potential,integrated
49,247,existing,integrated
732,628,existing,member
682,768,existing,transactional
546,878,existing,transactional
72,928,existing,transactional
957,655,existing,contractual
137,275,existing,relational
181,949,existing,member
776,168,potential,contractual
120,954,potential,transactional
269,772,potential,contractual
792,397,existing,contractual
737,339,existing,contractual
304,478,potential,member
629,751,existing,contractual
227,205,potential,relational
985,840,potential,transactional
108,473,potential,integrated
782,689,existing,transactional
839,794,potential,member
436,264,potential,contractual
617,827,potential,relational
919,455,existing,transactional
999,229,existing,contractual
628,270,potential,member
746,973,potential,contractual
907,197,potential,transactional
787,465,existing,relational
545,393,existing,transactional
489,276,potential,integrated
162,60,potential,contractual
8,838,potential,integrated
839,737,existing,member
802,960,existing,relational
433,84,existing,transactional
635,222,potential,relational
329,563,potential,contractual
263,882,existing,relational
553,108,existing,integrated
214,709,existing,transactional
661,873,potential,transactional
890,1000,potential,relational
166,925,existing,member
953,91,existing,integrated
359,514,potential,contractual
402,910,potential,transactional
704,975,existing,transactional
417,288,potential,relational
496,379,existing,integrated
305,267,existing,integrated
922,922,potential,contractual
760,882,potential,relational
762,732,potential,integrated
523,691,potential,relational
734,805,existing,relational
119,460,potential,contractual
565,275,potential,relational
669,506,potential,relational
451,581,potential,member
547,889,existing,integrated
789,508,potential,relational
216,939,potential,integrated
422,167,potential,member
522,432,existing,contractual
766,679,potential,contractual
439,13,potential,relational
911,871,existing,integrated
65,476,existing,relational
782,321,potential,transactional
244,492,existing,integrated
276,346,potential,integrated
874,926,existing,member
26,960,existing,relational
164,836,potential,integrated
184,716,existing,transactional
708,992,potential,relational
588,805,existing,integrated
266,347,existing,transactional
566,799,potential,relational
868,90,potential,contractual
76,773,potential,contractual
849,678,existing,contractual
52,880,potential,relational
146,357,potential,integrated
970,900,potential,transactional
274,25,existing,transactional
756,266,existing,transactional
641,858,potential,contractual
990,945,potential,contractual
417,174,potential,member
255,394,potential,member
978,128,existing,member
986,892,existing,transactional
659,665,existing,relational
694,746,potential,relational
781,950,potential,transactional
975,853,existing,contractual
831,107,potential,contractual
90,169,potential,relational
90,642,existing,integrated
212,363,potential,relational
884,983,potential,contractual
68,167,existing,member
729,307,potential,relational
999,232,potential,relational
641,191,potential,integrated
938,309,existing,contractual
756,891,existing,transactional
269,324,existing,contractual
989,499,potential,member
880,450,existing,relational
109,123,potential,contractual
790,281,existing,member
91,367,existing,member
448,890,existing,relational
224,854,existing,integrated
398,390,potential,integrated
973,182,existing,member
728,401,potential,member
846,75,potential,integrated
72,881,potential,relational
292,782,existing,transactional
609,972,potential,contractual
79,267,potential,integrated
221,439,potential,relational
864,271,potential,member
117,347,potential,transactional
121,456,existing,transactional
987,518,potential,member
307,37,existing,transactional
492,678,existing,member
992,797,potential,relational
836,954,existing,transactional
307,341,potential,member
840,945,existing,member
298,211,existing,member
421,962,existing,integrated
806,26,potential,contractual
20,760,existing,member
796,465,potential,contractual
985,894,existing,transactional
486,935,potential,integrated
495,317,potential,contractual
179,70,existing,contractual
122,157,existing,integrated
452,479,potential,member
773,676,existing,relational
49,739,potential,contractual
304,425,potential,transactional
386,770,potential,integrated
592,649,existing,contractual
564,985,existing,relational
385,799,potential,integrated
688,647,existing,integrated
998,546,potential,transactional
11,945,potential,integrated
860,79,potential,member
256,19,existing,integrated
858,436,existing,contractual
651,713,existing,transactional
860,718,potential,contractual
710,732,potential,contractual
79,283,potential,contractual
132,623,potential,contractual
192,196,existing,relational
640,89,potential,integrated
183,330,existing,relational
223,16,existing,member
620,289,potential,integrated
813,609,existing,relational
343,532,potential,relational
914,183,existing,contractual
44,678,existing,relational
691,770,potential,transactional
296,613,potential,transactional
544,240,existing,relational
996,209,potential,transactional
596,622,potential,relational
712,244,existing,transactional
606,432,potential,contractual
981,222,existing,transactional
280,598,potential,integrated
157,845,potential,relational
336,354,existing,relational
572,419,existing,contractual
73,448,potential,transactional
672,288,potential,relational
170,724,potential,integrated
299,780,potential,relational
998,605,potential,member
987,216,existing,contractual
768,100,existing,member
571,735,existing,contractual
633,202,existing,integrated
629,267,potential,relational
676,444,existing,member
383,935,potential,transactional
355,881,potential,member
45,881,existing,contractual
258,99,potential,integrated
404,183,existing,integrated
773,931,potential,member
533,999,potential,integrated
425,225,existing,relational
649,530,potential,member
272,768,existing,integrated
841,533,existing,relational
27,490,potential,transactional
993,344,potential,member
464,388,existing,contractual
208,681,potential,contractual
138,668,existing,member
814,871,existing,integrated
523,939,existing,member
421,871,potential,transactional
